Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H06,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,239,ddPCR Supermix for Probes (no dUTP),4780,,,248,231,3258,14443,3222,36,11330,3113,226,17701,,,,,,,,0.1178,,,0.1224,0.1132,10.54,,,10.91,10.17,1,1,1568,1187.8,424.03,564.61,,,,,243.5,235.1,,,,,,,0.1202,0.1155,,,10.73,10.35
H07,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,2.5,ddPCR Supermix for Probes (no dUTP),50,,,3.6,1.6,25,11922,0,25,10659,1263,0,11947,,,,,,,,0.00094,,,0.00131,0.00057,0.094,,,0.131,0.057,1,1,1269,8630.6,449.68,466.8,,,,,2.99,2,,,,,,,0.00113,0.00075,,,0.113,0.075
H08,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,234,ddPCR Supermix for Probes (no dUTP),4680,,,242,226,3165,14402,3127,38,11388,3014,219,17567,,,,,,,,0.1135,,,0.118,0.109,10.19,,,10.55,9.83,1,1,1532,1192.6,424.28,562.7,,,,,237.9,229.6,,,,,,,0.1158,0.1112,,,10.38,10.01
H09,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.5,1.1,26,17799,14,12,11112,6687,0,17825,,,,,,,,0.0015,,,0.0021,0.0009,0.15,,,0.21,0.09,1,1,1531,6654.5,551.19,560.1,,,,,2.08,1.4,,,,,,,0.00178,0.0012,,,0.178,0.12
H10,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,262,ddPCR Supermix for Probes (no dUTP),5240,,,271,253,3302,13221,3260,42,10214,3007,246,16523,,,,,,,,0.132,,,0.137,0.127,11.65,,,12.06,11.25,1,1,1577,1208.8,461.57,610.91,,,,,266.9,257.7,,,,,,,0.1346,0.1293,,,11.86,11.45
H11,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,403,ddPCR Supermix for Probes (no dUTP),8060,,,415,391,4373,10718,1789,2584,4510,6208,0,15091,,,,,,,,0.633,,,0.658,0.609,38.8,,,39.7,37.9,1,1,642,1182.4,380.63,612.96,,,,,409,396,,,,,,,0.646,0.621,,,39.25,38.31
H12,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,217,ddPCR Supermix for Probes (no dUTP),4340,,,225,209,2826,13929,2803,23,8816,5113,212,16755,,,,,,,,0.156,,,0.163,0.15,13.51,,,14,13.02,1,1,1597,1184.1,462.86,584.51,,,,,221.4,213.2,,,,,,,0.1595,0.1529,,,13.76,13.26
A01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,975,ddPCR Supermix for Probes (no dUTP),19500,,,997,953,7937,6151,27,46,7910,6105,0,14088,,,,,,,,0.0063,,,0.0077,0.0048,0.62,,,0.77,0.48,1,1,2128,3224.1,1715.2,2565.3,,,,,986,964,,,,,,,0.007,0.0055,,,0.7,0.55
A02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1795,ddPCR Supermix for Probes (no dUTP),35900,,,1833,1759,10902,3028,1727,35,9175,2993,145,13930,,,,,,,,0.0886,,,0.0931,0.0841,8.14,,,8.52,7.76,1,1,2121,3207.1,1729.8,2886,,,,,1815,1777,,,,,,,0.0909,0.0863,,,8.33,7.95
A03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2388,ddPCR Supermix for Probes (no dUTP),47760,,,2437,2341,13173,1992,15,2,13158,1990,0.138,15165,,,,,,,,0.00055,,,0.00082,0.00029,0.055,,,0.082,0.029,1,1,2168,3227.5,1718.1,3029.2,,,,,2413,2364,,,,,,,0.00069,0.00042,,,0.069,0.042
