Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,970,ddPCR Supermix for Probes (no dUTP),19400,,,991,950,9162,7150,5,13,9157,7137,0,16312,,,,,,,,0.0013,,,0.002,0.0007,0.13,,,0.2,0.07,1,1,2210,3365.5,1798.8,2678.8,,,,,981,960,,,,,,,0.00165,0.00102,,,0.165,0.102
C01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,812,ddPCR Supermix for Probes (no dUTP),16240,,,830,794,8170,8218,17,19,8153,8199,0,16388,,,,,,,,0.0032,,,0.0042,0.0021,0.32,,,0.42,0.21,1,1,2090,3179.9,1699.6,2437.5,,,,,821,803,,,,,,,0.0037,0.0027,,,0.37,0.26
C02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2128,ddPCR Supermix for Probes (no dUTP),42560,,,2171,2087,13007,2548,3067,29,9940,2519,248,15555,,,,,,,,0.1227,,,0.1276,0.1177,10.93,,,11.32,10.53,1,1,2101,3162.3,1710.2,2924.4,,,,,2150,2107,,,,,,,0.1252,0.1202,,,11.13,10.73
C03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1898,ddPCR Supermix for Probes (no dUTP),37960,,,1936,1861,12233,3043,2396,32,9837,3011,191,15276,,,,,,,,0.1073,,,0.1121,0.1025,9.69,,,10.08,9.3,1,1,2118,3179.5,1724.4,2889.6,,,,,1917,1879,,,,,,,0.1097,0.1049,,,9.89,9.49
C04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1438,ddPCR Supermix for Probes (no dUTP),28760,,,1466,1411,11561,4826,16,11,11545,4815,0,16387,,,,,,,,0.0013,,,0.0019,0.0008,0.13,,,0.19,0.08,1,1,2127,3188.9,1717.2,2755.5,,,,,1453,1424,,,,,,,0.00161,0.00109,,,0.161,0.109
C05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1421,ddPCR Supermix for Probes (no dUTP),28420,,,1449,1395,12068,5141,2981,64,9087,5077,214,17209,,,,,,,,0.161,,,0.168,0.155,13.88,,,14.36,13.4,1,1,2129,3201.3,1738.7,2764.4,,,,,1435,1408,,,,,,,0.1645,0.1579,,,14.13,13.63
C06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1453,ddPCR Supermix for Probes (no dUTP),29060,,,1482,1426,11819,4845,2494,42,9325,4803,184,16664,,,,,,,,0.134,,,0.139,0.128,11.79,,,12.24,11.34,1,1,2100,3147.5,1713.8,2730.6,,,,,1468,1439,,,,,,,0.1366,0.1307,,,12.02,11.56
C07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1750,ddPCR Supermix for Probes (no dUTP),35000,,,1786,1715,11316,3303,2313,43,9003,3260,191,14619,,,,,,,,0.118,,,0.123,0.113,10.57,,,10.99,10.14,1,1,2134,3207.5,1748.9,2878,,,,,1768,1732,,,,,,,0.1209,0.1154,,,10.78,10.35
C08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1487,ddPCR Supermix for Probes (no dUTP),29740,,,1516,1459,11952,4708,34,11,11918,4697,0.43,16660,,,,,,,,0.0021,,,0.0028,0.0015,0.21,,,0.28,0.15,1,1,2149,3237.4,1738,2813.7,,,,,1501,1472,,,,,,,0.00246,0.00182,,,0.245,0.182
C09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,923,ddPCR Supermix for Probes (no dUTP),18460,,,943,903,8778,7373,56,59,8722,7314,0,16151,,,,,,,,0.0091,,,0.0108,0.0074,0.9,,,1.07,0.74,1,1,2148,3271.2,1759.1,2580.9,,,,,933,912,,,,,,,0.01,0.0083,,,0.99,0.82
C10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1991,ddPCR Supermix for Probes (no dUTP),39820,,,2031,1952,12237,2762,28,7,12209,2755,0,14999,,,,,,,,0.00138,,,0.00184,0.00092,0.138,,,0.184,0.092,1,1,2179,3268,1759.5,2990.3,,,,,2011,1971,,,,,,,0.00161,0.00115,,,0.161,0.115
C11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1425,ddPCR Supermix for Probes (no dUTP),28500,,,1454,1398,11124,4716,2457,38,8667,4678,192,15840,,,,,,,,0.141,,,0.148,0.135,12.39,,,12.87,11.92,1,1,2166,3259.1,1764.2,2814,,,,,1440,1411,,,,,,,0.1446,0.1383,,,12.64,12.15
C12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,636,ddPCR Supermix for Probes (no dUTP),12720,,,652,621,6627,9233,931,20,5696,9213,70.2,15860,,,,,,,,0.114,,,0.122,0.107,10.3,,,10.9,9.6,1,1,2184,3307.3,1781.4,2419,,,,,644,629,,,,,,,0.1183,0.1103,,,10.58,9.94
D01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1132,ddPCR Supermix for Probes (no dUTP),22640,,,1156,1109,9405,5814,1367,18,8038,5796,109,15219,,,,,,,,0.099,,,0.105,0.094,9.02,,,9.49,8.56,1,1,2139,3270.7,1742.9,2687,,,,,1144,1120,,,,,,,0.102,0.0963,,,9.26,8.78
D02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1993,ddPCR Supermix for Probes (no dUTP),39860,,,2032,1956,13589,3058,12,6,13577,3052,0,16647,,,,,,,,0.00064,,,0.00094,0.00034,0.064,,,0.094,0.034,1,1,2144,3220.7,1717.4,2944.6,,,,,2013,1974,,,,,,,0.00079,0.00049,,,0.079,0.049
D03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1823,ddPCR Supermix for Probes (no dUTP),36460,,,1858,1788,12631,3406,13,5,12618,3401,0,16037,,,,,,,,0.00072,,,0.00106,0.00039,0.072,,,0.106,0.039,1,1,2099,3190.7,1708.1,2875.8,,,,,1841,1805,,,,,,,0.0009,0.00055,,,0.09,0.055
D04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1751,ddPCR Supermix for Probes (no dUTP),35020,,,1784,1718,12972,3784,25,12,12947,3772,0,16756,,,,,,,,0.00149,,,0.00197,0.001,0.148,,,0.196,0.1,1,1,2126,3187.3,1720.5,2856,,,,,1768,1734,,,,,,,0.00173,0.00124,,,0.173,0.124
D05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,904,ddPCR Supermix for Probes (no dUTP),18080,,,923,885,9394,8126,23,24,9371,8102,0,17520,,,,,,,,0.0035,,,0.0045,0.0025,0.35,,,0.45,0.25,1,1,2133,3224,1733.2,2532.5,,,,,913,894,,,,,,,0.004,0.003,,,0.4,0.3
D06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1155,ddPCR Supermix for Probes (no dUTP),23100,,,1177,1132,10941,6559,33,20,10908,6539,0,17500,,,,,,,,0.0031,,,0.0039,0.0023,0.31,,,0.39,0.22,1,1,2128,3186.1,1721.6,2637.2,,,,,1166,1143,,,,,,,0.00352,0.00267,,,0.35,0.266
D07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1639,ddPCR Supermix for Probes (no dUTP),32780,,,1671,1608,12209,4031,2508,26,9701,4005,192,16240,,,,,,,,0.122,,,0.127,0.116,10.85,,,11.27,10.43,1,1,2124,3212,1741.8,2847.1,,,,,1656,1623,,,,,,,0.1244,0.119,,,11.07,10.64
D08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1754,ddPCR Supermix for Probes (no dUTP),35080,,,1787,1722,13547,3937,3633,34,9914,3903,267,17484,,,,,,,,0.158,,,0.164,0.152,13.64,,,14.08,13.2,1,1,2150,3225.8,1752.2,2894,,,,,1771,1738,,,,,,,0.1609,0.1549,,,13.86,13.41
D09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1350,ddPCR Supermix for Probes (no dUTP),27000,,,1377,1324,11195,5207,22,14,11173,5193,0,16402,,,,,,,,0.0019,,,0.0025,0.0013,0.19,,,0.25,0.13,1,1,2178,3273.4,1761.7,2793.5,,,,,1363,1336,,,,,,,0.00223,0.0016,,,0.223,0.159
D10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1452,ddPCR Supermix for Probes (no dUTP),29040,,,1481,1425,11723,4811,25,8,11698,4803,0.393,16534,,,,,,,,0.0016,,,0.0022,0.0011,0.16,,,0.22,0.11,1,1,2193,3288.8,1770.3,2847,,,,,1467,1438,,,,,,,0.0019,0.00134,,,0.19,0.133
D11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1060,ddPCR Supermix for Probes (no dUTP),21200,,,1083,1037,8648,5919,13,13,8635,5906,0,14567,,,,,,,,0.002,,,0.0028,0.0012,0.2,,,0.27,0.12,1,1,2177,3278.6,1769.4,2665.4,,,,,1071,1048,,,,,,,0.00237,0.00159,,,0.237,0.159
D12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,714,ddPCR Supermix for Probes (no dUTP),14280,,,731,696,6576,7882,15,61,6561,7821,0,14458,,,,,,,,0.0087,,,0.0107,0.0067,0.86,,,1.06,0.67,1,1,2135,3199.6,1739,2403.4,,,,,723,705,,,,,,,0.0097,0.0077,,,0.96,0.76
E01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1217,ddPCR Supermix for Probes (no dUTP),24340,,,1241,1194,11505,6340,72,149,11433,6191,0,17845,,,,,,,,0.012,,,0.0136,0.0104,1.19,,,1.35,1.03,1,1,2117,3220.5,1707.8,2683.1,,,,,1229,1206,,,,,,,0.0129,0.0112,,,1.27,1.11
E02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2469,ddPCR Supermix for Probes (no dUTP),49380,,,2516,2423,15554,2174,4665,34,10889,2140,344,17728,,,,,,,,0.147,,,0.152,0.142,12.8,,,13.18,12.41,1,1,2138,3233.5,1750,3051.6,,,,,2493,2446,,,,,,,0.1493,0.1442,,,12.99,12.6
E03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2315,ddPCR Supermix for Probes (no dUTP),46300,,,2360,2272,14509,2357,3290,33,11219,2324,242,16866,,,,,,,,0.1115,,,0.1159,0.1072,10.03,,,10.38,9.68,1,1,2135,3206.6,1734.9,3001,,,,,2338,2293,,,,,,,0.1137,0.1093,,,10.21,9.85
E04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1578,ddPCR Supermix for Probes (no dUTP),31560,,,1608,1549,12634,4475,38,12,12596,4463,0.284,17109,,,,,,,,0.0022,,,0.0028,0.0016,0.22,,,0.28,0.16,1,1,2150,3258.3,1735.3,2860,,,,,1593,1563,,,,,,,0.00249,0.00187,,,0.249,0.187
E05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1511,ddPCR Supermix for Probes (no dUTP),30220,,,1540,1484,12647,4839,11,5,12636,4834,0,17486,,,,,,,,0.00071,,,0.00107,0.00036,0.071,,,0.107,0.036,1,1,2110,3174.3,1714.5,2770.3,,,,,1526,1497,,,,,,,0.00089,0.00053,,,0.089,0.053
E06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1084,ddPCR Supermix for Probes (no dUTP),21680,,,1107,1061,8981,5938,16,16,8965,5922,0,14919,,,,,,,,0.0023,,,0.0031,0.0015,0.23,,,0.31,0.15,1,1,2154,3255,1743.8,2653.5,,,,,1096,1072,,,,,,,0.00274,0.00192,,,0.274,0.191
E07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1757,ddPCR Supermix for Probes (no dUTP),35140,,,1791,1724,12618,3655,12,9,12606,3646,0,16273,,,,,,,,0.00086,,,0.00124,0.00049,0.086,,,0.124,0.049,1,1,2177,3277.1,1756.1,2935.5,,,,,1774,1740,,,,,,,0.00105,0.00068,,,0.105,0.068
E08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1505,ddPCR Supermix for Probes (no dUTP),30100,,,1535,1476,11524,4444,21,10,11503,4434,0,15968,,,,,,,,0.0015,,,0.0021,0.001,0.15,,,0.21,0.1,1,1,2156,3259.3,1744.8,2837.8,,,,,1520,1490,,,,,,,0.00179,0.00125,,,0.179,0.124
E09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1098,ddPCR Supermix for Probes (no dUTP),21960,,,1121,1076,9627,6239,8,6,9619,6233,0,15866,,,,,,,,0.0009,,,0.0014,0.0004,0.09,,,0.14,0.04,1,1,2165,3291.8,1768.7,2692.9,,,,,1110,1087,,,,,,,0.0012,0.00069,,,0.12,0.069
E10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1924,ddPCR Supermix for Probes (no dUTP),38480,,,1962,1888,13223,3199,3391,35,9832,3164,262,16422,,,,,,,,0.143,,,0.149,0.138,12.51,,,12.94,12.09,1,1,2224,3349.4,1797.8,3047.2,,,,,1943,1906,,,,,,,0.1459,0.1402,,,12.73,12.3
E11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1139,ddPCR Supermix for Probes (no dUTP),22780,,,1162,1116,10331,6329,2034,18,8297,6311,151,16660,,,,,,,,0.136,,,0.142,0.129,12,,,12.5,11.5,1,1,2205,3370.9,1793.7,2771.7,,,,,1150,1127,,,,,,,0.1391,0.1325,,,12.21,11.7
E12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1140,ddPCR Supermix for Probes (no dUTP),22800,,,1165,1116,8946,5472,1394,18,7552,5454,117,14418,,,,,,,,0.106,,,0.112,0.1,9.62,,,10.11,9.12,1,1,2207,3372.4,1801.5,2776.2,,,,,1152,1127,,,,,,,0.1094,0.1033,,,9.87,9.36
F01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1120,ddPCR Supermix for Probes (no dUTP),22400,,,1143,1098,10213,6419,38,114,10175,6305,0,16632,,,,,,,,0.0096,,,0.0112,0.0081,0.96,,,1.11,0.8,1,1,2137,3288.7,1725.1,2685.2,,,,,1132,1109,,,,,,,0.0104,0.0089,,,1.03,0.88
F02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2153,ddPCR Supermix for Probes (no dUTP),43060,,,2195,2112,13441,2569,2883,30,10558,2539,222,16010,,,,,,,,0.1098,,,0.1143,0.1052,9.89,,,10.26,9.52,1,1,1964,2850.4,1613.9,2652,,,,,2174,2132,,,,,,,0.1121,0.1075,,,10.08,9.7
F03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2486,ddPCR Supermix for Probes (no dUTP),49720,,,2537,2438,13853,1904,3289,24,10564,1880,263,15757,,,,,,,,0.1117,,,0.1161,0.1073,10.05,,,10.4,9.69,1,1,2090,3154.8,1706.3,2979.7,,,,,2512,2461,,,,,,,0.1139,0.1094,,,10.23,9.86
F04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1534,ddPCR Supermix for Probes (no dUTP),30680,,,1564,1504,11398,4249,2028,35,9370,4214,157,15647,,,,,,,,0.108,,,0.114,0.103,9.78,,,10.2,9.37,1,1,2110,3170.4,1716.2,2775.5,,,,,1549,1518,,,,,,,0.1111,0.1058,,,10,9.57
F05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1156,ddPCR Supermix for Probes (no dUTP),23120,,,1179,1133,10520,6296,2507,24,8013,6272,187,16816,,,,,,,,0.166,,,0.173,0.159,14.2,,,14.8,13.7,1,1,2156,3284.7,1745.6,2708.5,,,,,1168,1144,,,,,,,0.1697,0.1623,,,14.51,13.97
F06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1251,ddPCR Supermix for Probes (no dUTP),25020,,,1278,1226,9913,5225,2180,23,7733,5202,180,15138,,,,,,,,0.148,,,0.155,0.141,12.9,,,13.4,12.4,1,1,2104,3196,1718.8,2686.2,,,,,1265,1238,,,,,,,0.1514,0.1443,,,13.15,12.61
F07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,992,ddPCR Supermix for Probes (no dUTP),19840,,,1014,971,9005,6799,4,9,9001,6790,0,15804,,,,,,,,0.001,,,0.0015,0.0004,0.1,,,0.15,0.04,1,1,2106,3179.8,1716.5,2550.3,,,,,1003,982,,,,,,,0.00125,0.0007,,,0.125,0.07
F08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2081,ddPCR Supermix for Probes (no dUTP),41620,,,2122,2041,13230,2721,3568,34,9662,2687,286,15951,,,,,,,,0.145,,,0.15,0.139,12.64,,,13.06,12.22,1,1,2181,3256,1762.5,3001.3,,,,,2101,2060,,,,,,,0.1475,0.1419,,,12.86,12.43
F09,Absolute Quantification,ABS,,Ch2Reference,TBP,Manual,1729,ddPCR Supermix for Probes (no dUTP),34580,,,1764,1696,12199,3642,10,5,12189,3637,0,15841,,,,,,,,0.00064,,,0.00098,0.00031,0.064,,,0.097,0.031,1,1,2035,3225.5,1735.1,2882.8,,,,,1747,1713,,,,,,,0.00081,0.00048,,,0.081,0.048
F10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1168,ddPCR Supermix for Probes (no dUTP),23360,,,1193,1144,9541,5614,1854,26,7687,5588,150,15155,,,,,,,,0.133,,,0.14,0.127,11.8,,,12.3,11.3,1,1,2152,3243.1,1751.5,2690.6,,,,,1181,1156,,,,,,,0.1368,0.13,,,12.03,11.5
F11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1142,ddPCR Supermix for Probes (no dUTP),22840,,,1165,1119,10583,6455,1669,37,8914,6418,117,17038,,,,,,,,0.109,,,0.114,0.103,9.8,,,10.26,9.35,1,1,2149,3239.8,1755.5,2677.5,,,,,1153,1130,,,,,,,0.1116,0.1058,,,10.04,9.57
F12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1191,ddPCR Supermix for Probes (no dUTP),23820,,,1215,1168,10687,6100,2338,24,8349,6076,174,16787,,,,,,,,0.15,,,0.157,0.143,13,,,13.5,12.5,1,1,2194,3318.5,1780.4,2759.6,,,,,1203,1179,,,,,,,0.1532,0.1464,,,13.29,12.77
G01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1166,ddPCR Supermix for Probes (no dUTP),23320,,,1190,1143,10412,6145,28,70,10384,6075,0,16557,,,,,,,,0.006,,,0.0072,0.0048,0.6,,,0.71,0.48,1,1,2107,3187.5,1697,2634.3,,,,,1178,1154,,,,,,,0.0066,0.0054,,,0.66,0.54
G02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2331,ddPCR Supermix for Probes (no dUTP),46620,,,2376,2288,14683,2348,4055,37,10628,2311,305,17031,,,,,,,,0.139,,,0.144,0.134,12.18,,,12.57,11.79,1,1,2119,3186.2,1716.3,2983.6,,,,,2354,2309,,,,,,,0.1412,0.1361,,,12.38,11.98
G03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2401,ddPCR Supermix for Probes (no dUTP),48020,,,2448,2355,14416,2153,20,4,14396,2149,0,16569,,,,,,,,0.00071,,,0.001,0.00042,0.071,,,0.1,0.042,1,1,2131,3187.7,1697,2994,,,,,2425,2377,,,,,,,0.00086,0.00057,,,0.085,0.056
G04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1456,ddPCR Supermix for Probes (no dUTP),29120,,,1484,1428,11885,4859,2562,26,9323,4833,191,16744,,,,,,,,0.136,,,0.142,0.13,11.95,,,12.4,11.5,1,1,2089,3166.8,1707.6,2743.4,,,,,1470,1441,,,,,,,0.1387,0.1327,,,12.18,11.72
G05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2215,ddPCR Supermix for Probes (no dUTP),44300,,,2257,2174,14818,2660,4667,59,10151,2601,344,17478,,,,,,,,0.167,,,0.173,0.162,14.34,,,14.76,13.92,1,1,2166,3202.6,1750.5,2981.6,,,,,2236,2194,,,,,,,0.1704,0.1645,,,14.56,14.13
G06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1975,ddPCR Supermix for Probes (no dUTP),39500,,,2015,1936,12279,2818,3099,23,9180,2795,263,15097,,,,,,,,0.138,,,0.144,0.132,12.13,,,12.56,11.7,1,1,2142,3181.5,1722.8,2909.3,,,,,1995,1955,,,,,,,0.1409,0.1352,,,12.35,11.91
G07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1982,ddPCR Supermix for Probes (no dUTP),39640,,,2019,1946,14157,3225,3537,40,10620,3185,256,17382,,,,,,,,0.137,,,0.142,0.132,12.03,,,12.43,11.63,1,1,2194,3316.5,1779.9,3031.4,,,,,2001,1963,,,,,,,0.1394,0.1341,,,12.24,11.83
G08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1573,ddPCR Supermix for Probes (no dUTP),31460,,,1604,1543,11889,4234,24,7,11865,4227,0.318,16123,,,,,,,,0.0014,,,0.002,0.0009,0.14,,,0.19,0.09,1,1,2134,3194.6,1715.8,2806.2,,,,,1589,1558,,,,,,,0.0017,0.00118,,,0.17,0.118
G09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,630,ddPCR Supermix for Probes (no dUTP),12600,,,646,614,6267,8850,1739,197,4528,8653,135,15117,,,,,,,,0.256,,,0.269,0.243,20.4,,,21.2,19.6,1,1,2117,3214.9,1744,2353.8,,,,,638,622,,,,,,,0.263,0.249,,,20.8,19.96
G10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1225,ddPCR Supermix for Probes (no dUTP),24500,,,1250,1202,11029,6014,3748,218,7281,5796,268,17043,,,,,,,,0.254,,,0.264,0.245,20.3,,,20.9,19.7,1,1,2177,3294.8,1801.3,2767.8,,,,,1238,1213,,,,,,,0.2591,0.2495,,,20.58,19.97
G11,Absolute Quantification,ABS,,Ch2Reference,TBP,Manual,626,ddPCR Supermix for Probes (no dUTP),12520,,,641,610,6648,9472,16,25,6632,9447,0,16120,,,,,,,,0.0048,,,0.0063,0.0033,0.48,,,0.62,0.33,1,1,2058,3282.7,1756.4,2385.9,,,,,633,618,,,,,,,0.0055,0.004,,,0.55,0.4
G12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1229,ddPCR Supermix for Probes (no dUTP),24580,,,1254,1204,10208,5542,45,19,10163,5523,0.75,15750,,,,,,,,0.0039,,,0.0049,0.0029,0.39,,,0.48,0.29,1,1,2182,3297.4,1766.3,2758.7,,,,,1242,1216,,,,,,,0.00439,0.00341,,,0.437,0.34
H01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1352,ddPCR Supermix for Probes (no dUTP),27040,,,1378,1326,11514,5342,19,9,11495,5333,0,16856,,,,,,,,0.0014,,,0.002,0.0009,0.14,,,0.2,0.09,1,1,2173,3276.7,1728.2,2785.9,,,,,1365,1339,,,,,,,0.00172,0.00117,,,0.172,0.117
H02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1686,ddPCR Supermix for Probes (no dUTP),33720,,,1717,1655,13230,4146,2374,29,10856,4117,167,17376,,,,,,,,0.1039,,,0.1085,0.0993,9.41,,,9.79,9.03,1,1,2127,3235.6,1724.2,2875,,,,,1702,1670,,,,,,,0.1062,0.1015,,,9.6,9.22
H03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1274,ddPCR Supermix for Probes (no dUTP),25480,,,1299,1250,11400,5838,6,6,11394,5832,0,17238,,,,,,,,0.00064,,,0.00101,0.00027,0.064,,,0.101,0.027,1,1,2130,3219.4,1710.8,2708.5,,,,,1286,1261,,,,,,,0.00083,0.00046,,,0.083,0.046
H04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1074,ddPCR Supermix for Probes (no dUTP),21480,,,1096,1052,9924,6656,12,12,9912,6644,0,16580,,,,,,,,0.0016,,,0.0022,0.0009,0.16,,,0.22,0.09,1,1,2129,3228.8,1716.7,2621.8,,,,,1085,1063,,,,,,,0.00191,0.00126,,,0.191,0.126
H05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1522,ddPCR Supermix for Probes (no dUTP),30440,,,1551,1493,12086,4569,2662,32,9424,4537,199,16655,,,,,,,,0.136,,,0.142,0.131,12,,,12.45,11.56,1,1,2178,3287.8,1752.3,2866.5,,,,,1537,1507,,,,,,,0.1394,0.1335,,,12.23,11.78
H06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2031,ddPCR Supermix for Probes (no dUTP),40620,,,2069,1995,14552,3149,3222,36,11330,3113,226,17701,,,,,,,,0.1178,,,0.1224,0.1132,10.54,,,10.91,10.17,1,1,2197,3291.1,1762.3,3019.1,,,,,2050,2012,,,,,,,0.1202,0.1155,,,10.73,10.35
H07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2620,ddPCR Supermix for Probes (no dUTP),52400,,,2680,2560,10659,1288,0,25,10659,1263,0,11947,,,,,,,,0.00094,,,0.00131,0.00057,0.094,,,0.131,0.057,1,1,3462,5310,2754.5,5034.5,,,,,2652,2590,,,,,,,0.00113,0.00075,,,0.113,0.075
H08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2059,ddPCR Supermix for Probes (no dUTP),41180,,,2098,2022,14515,3052,3127,38,11388,3014,219,17567,,,,,,,,0.1135,,,0.118,0.109,10.19,,,10.55,9.83,1,1,2198,3304,1770.1,3037.5,,,,,2079,2040,,,,,,,0.1158,0.1112,,,10.38,10.01
H09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1151,ddPCR Supermix for Probes (no dUTP),23020,,,1174,1129,11126,6699,14,12,11112,6687,0,17825,,,,,,,,0.0015,,,0.0021,0.0009,0.15,,,0.21,0.09,1,1,2173,3283.1,1751.2,2707.4,,,,,1163,1140,,,,,,,0.00178,0.0012,,,0.178,0.12
H10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1988,ddPCR Supermix for Probes (no dUTP),39760,,,2026,1951,13474,3049,3260,42,10214,3007,246,16523,,,,,,,,0.132,,,0.137,0.127,11.65,,,12.06,11.25,1,1,2282,3416.2,1821.8,3122,,,,,2008,1969,,,,,,,0.1346,0.1293,,,11.86,11.45
H11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,636,ddPCR Supermix for Probes (no dUTP),12720,,,652,620,6299,8792,1789,2584,4510,6208,0,15091,,,,,,,,0.633,,,0.658,0.609,38.8,,,39.7,37.9,1,1,2172,3325.7,1771.2,2420.1,,,,,644,628,,,,,,,0.646,0.621,,,39.25,38.31
H12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1391,ddPCR Supermix for Probes (no dUTP),27820,,,1418,1365,11619,5136,2803,23,8816,5113,212,16755,,,,,,,,0.156,,,0.163,0.15,13.51,,,14,13.02,1,1,2213,3356.7,1793.1,2877.4,,,,,1405,1377,,,,,,,0.1595,0.1529,,,13.76,13.26
