Chip Run Info,H:\Deleted from D_AT30\DX3\HER2\Breast cancer gDNA cell line spike-ins\1482019095 48-770 uniplex HER2 RNaseP BC gDNA 20-10-2009\ChipRun.bml,1482019095,48.770,Default-10min-Hot-Start,ROX,FAM-MGB : VIC-TAMRA,10/20/2009 12:12:18 PM,01:33:33,BIOMARK052
Application Version,4.0.1
Application Build,20130423.0844
Export Type,Detailed Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,User
Chamber and Panel,Chamber and Panel,Sample,Sample,Sample,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Defined
Chamber ID,Panel ID,Name,Type,rConc.,Name,Type,Name,Type,Value,Quality,Call,Target,Threshold,Value,Quality,Call,Target,Threshold,Comments
P02-X32-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X33-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X34-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.4513630831713,0.98,Pass,Hit,0.1,
P02-X35-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X36-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8957030167229,0.98,Pass,Hit,0.1,
P02-X37-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X38-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X39-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X40-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.8947415435878,0.96,Pass,Hit,0.1,
P02-X41-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X42-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X43-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X44-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X45-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X46-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.0983778642529,0.96,Pass,Hit,0.1,
P02-X47-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X48-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X49-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X50-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X51-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X52-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.9272410325434,0.97,Pass,Hit,0.1,
P02-X53-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X54-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.6208587106831,0.95,Pass,Hit,0.1,
P02-X55-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8842695809291,0.94,Pass,Hit,0.1,
P02-X56-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X57-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X58-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X59-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X60-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X61-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X62-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X63-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X64-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X65-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X66-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X67-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X68-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X69-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X70-Y02,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8529519829372,0.96,Pass,Hit,0.1,
P02-X01-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X02-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X03-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8355680621528,0.98,Pass,Hit,0.1,
P02-X04-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X05-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.9454294884448,0.98,Pass,Hit,0.1,
P02-X06-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,31.7759165056425,0.96,Pass,Hit,0.1,
P02-X07-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X08-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.8311882158942,0.96,Pass,Hit,0.1,
P02-X09-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X10-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8291665545614,0.98,Pass,Hit,0.1,
P02-X11-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X12-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X13-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X14-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X15-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X16-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X17-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X18-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X19-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.9900823259494,0.95,Pass,Hit,0.1,
P02-X20-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X21-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X22-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X23-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X24-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X25-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X26-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X27-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X28-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X29-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X30-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X31-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X32-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X33-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X34-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8686104810406,0.95,Pass,Hit,0.1,
P02-X35-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.9313520587916,0.98,Pass,Hit,0.1,
P02-X36-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X37-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X38-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.8485874454697,0.97,Pass,Hit,0.1,
P02-X39-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X40-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X41-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X42-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,30.5218469428422,0.96,Pass,Hit,0.1,
P02-X43-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X44-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X45-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X46-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X47-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X48-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X49-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X50-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X51-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X52-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X53-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,27.1863430767416,0.98,Pass,Hit,0.1,
P02-X54-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.7104223437495,0.96,Pass,Hit,0.1,
P02-X55-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,30.1826284037312,0.96,Pass,Hit,0.1,
P02-X56-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X57-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X58-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X59-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X60-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X61-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X62-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X63-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X64-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X65-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X66-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X67-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X68-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X69-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X70-Y03,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X01-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X02-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X03-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X04-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X05-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X06-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.9449562690761,0.98,Pass,Hit,0.1,
P02-X07-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X08-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X09-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X10-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X11-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X12-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X13-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X14-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8557161428562,0.98,Pass,Hit,0.1,
P02-X15-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X16-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.8064173330779,0.97,Pass,Hit,0.1,
P02-X17-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X18-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.615657106738,0.97,Pass,Hit,0.1,
P02-X19-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X20-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.7419681104739,0.98,Pass,Hit,0.1,
P02-X21-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X22-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X23-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X24-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.7651017785442,0.97,Pass,Hit,0.1,
P02-X25-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X26-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X27-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X28-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.9984237598055,0.98,Pass,Hit,0.1,
P02-X29-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.8984944947682,0.98,Pass,Hit,0.1,
P02-X30-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X31-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.7897209287061,0.96,Pass,Hit,0.1,
P02-X32-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X33-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X34-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X35-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X36-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.0386503546496,0.98,Pass,Hit,0.1,
P02-X37-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X38-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X39-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X40-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X41-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X42-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.2476226152897,0.97,Pass,Hit,0.1,
P02-X43-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X44-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,30.6153552043395,0.97,Pass,Hit,0.1,
P02-X45-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X46-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X47-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X48-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X49-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X50-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X51-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X52-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X53-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X54-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.9776609373406,0.98,Pass,Hit,0.1,
P02-X55-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.4740798153301,0.95,Pass,Hit,0.1,
P02-X56-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P02-X57-Y04,2,MCF-7,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.6785643257808,0.97,Pass,Hit,0.1,
